,Iteration_0,Iteration_1,Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_12,Iteration_13,Iteration_14,Iteration_15,Iteration_16,Iteration_17,Iteration_18,Iteration_19
Replicate_0,20.66578991506858,20.002006028163407,19.43829687580335,19.14851206535155,19.518928321959013,19.320969578945395,18.60531465411776,18.211533068104597,18.101128550719775,17.648155493757606,17.489662844302007,17.33708833267137,17.32807058535762,17.23978530025002,16.956491626690514,16.75866479554815,16.3848348672016,16.08008573733024,15.612202185441083,15.333799931134202
Replicate_1,20.66578991506858,20.503104963827255,20.254358002375533,19.920295252209385,19.396395592999923,18.631666474731663,18.336110375609874,18.24223912574306,18.203085910831547,18.22244512013777,18.110159977243576,17.89686802445635,17.82123331144353,17.533009521362086,17.478094766716662,17.38714255003276,17.295180095532828,17.302225637460133,17.264204392593744,17.243223529407476
Replicate_2,20.66578991506858,20.826559979500598,21.035948222347574,21.169465601666307,20.66822519545645,19.920680941489298,19.65279281179267,19.240876837317508,18.645321189712448,17.577013473018653,16.49236665512233,15.733876972806183,15.649848292101295,15.332009231999635,14.844953755281873,14.637808116712119,14.444964564528531,14.21306949165061,13.94983674702601,13.664091455214617
Replicate_3,20.66578991506858,20.713030283685757,20.624756276244756,20.336790571326755,19.93912604479719,19.760810357891426,19.685946652857723,19.53595835810411,19.204696212523952,18.866505108794726,18.346135966015098,17.839875423185546,17.461691569360887,16.934359414741714,16.391902049535137,15.713067340161304,15.20442922293692,14.822230246556453,14.527263220892955,14.365521652628258
Replicate_4,20.66578991506858,19.947014537762612,19.46268969073776,18.89287564592494,18.297083746251243,17.763465137659573,17.12953634995064,16.13020901323273,15.287702478038383,14.568105212051226,14.140273831679588,13.846883255913333,13.715333801451589,13.618345717910541,13.263827631323462,12.916677193314277,12.622388988072068,12.341707243289827,12.067140051741,11.903046226246246
Replicate_5,20.66578991506858,20.196354629372482,19.861850855660585,19.5458340086898,19.15473690581966,18.710741602692927,17.87606741842239,17.54403665685895,17.49208876902113,17.63128850796548,17.574471663455814,17.143041741682804,16.871411869770554,16.808380656161084,16.653055966281176,16.52452780433216,16.6575407349401,16.523008781677454,16.16364079578292,15.78923722244127
Replicate_6,20.66578991506858,20.496308191286797,20.325149492290638,20.465368090120563,21.010035988998155,21.521368386521097,22.698474447909028,23.989951047939048,24.966613307901884,27.603488649213567,29.347963492488038,29.276476482597673,28.638893160271994,28.261236421541778,28.312394076026294,28.199065418660187,27.99269973683095,27.49380460016541,27.050883147369756,26.653205033487097
Replicate_7,20.66578991506858,20.576480270342685,20.438429672464043,20.33574520328141,20.352272554416103,20.295702843018404,20.293248953756223,20.37573839642651,20.730190991489277,21.103722827021656,21.309864791620797,21.35885599094049,21.35111538134277,21.298528347933335,20.988516839552656,20.10091339801605,18.95758863181918,18.18819425397825,17.64275249245798,17.203366176644188
Replicate_8,20.66578991506858,20.00600624639815,19.473190043389273,18.789883604723652,18.056988769278902,17.492374320264567,16.971606701025465,16.81775427283267,16.390506120940433,15.879196649662981,15.671927510943664,15.421712493360612,15.26188434885252,15.088907972445035,15.049938086217844,15.048852272783982,15.09971071600316,14.963519343880376,14.827358150558922,14.721466171415836
Replicate_9,20.66578991506858,20.27049288946416,19.9888918925716,20.00468194272946,20.20241116019469,21.262295434349102,22.850068756376157,23.215949720277266,23.25023376537855,23.346927283612583,23.328104025927644,23.270814025412886,22.895930708213015,22.718795625011104,22.43881868112215,22.219832226072068,22.08451851999695,21.872256310295786,21.61975737140496,21.36446638945992
Replicate_10,20.66578991506858,21.693049560292557,22.28905604288215,22.0034570868834,20.94242143550368,19.940418391317362,19.42509102103576,18.443749560686733,17.81559652983774,17.459273755243686,16.98687009009454,16.437416004474343,15.911564858417243,15.136525444920851,14.21618155358864,13.384355727632778,12.542600366512588,11.689510603388717,10.736564937886351,10.132587299711675
Replicate_11,20.66578991506858,20.62998087860523,20.295412019016087,19.654917627999232,18.82309414408968,18.018706997277576,17.390139610604887,17.214797806911516,17.075186935258987,16.332765226157917,15.879211975321416,15.826069415450858,15.768543767830089,15.55053669129453,15.430860678576462,15.269290469476928,15.004414638772312,14.792658045397836,14.66748341544497,14.65358326435402
Replicate_12,20.66578991506858,20.777906999204017,20.728610634863426,20.31771345543802,20.003098636568932,20.10170794675248,19.935019946903793,19.590496294246982,19.437378554333492,19.230177704917363,18.916133637501233,18.666366377614295,18.458567258305052,18.209456136808218,17.76860660863157,17.57369508355379,17.39428970780479,17.525037867071777,18.030000416884945,18.60880955927839
Replicate_13,20.66578991506858,20.152050439282135,19.676622108107928,19.14307584172676,18.777461649815013,18.939757794449932,19.116190483111684,19.440538360088656,19.822928773029926,19.502216660962958,19.438017016495785,19.13406690671164,18.84109231325578,18.47681919805785,17.944285322858025,17.287915464410098,16.640193968656092,16.17530745925158,15.991507860417277,16.13165150577125
Replicate_14,20.66578991506858,20.382010308057513,20.10978987405171,19.6256563013995,18.906821834033273,18.334992728949196,17.861250903671113,17.564778898315197,17.327314628354895,16.984859823021964,16.68485137170557,16.43595581669232,15.931964576694192,15.976621447972427,16.272257762959075,16.059652267962093,15.717092030444855,15.193962031932745,14.77910380300463,14.582864457530023
Replicate_15,20.66578991506858,20.56183303854485,20.34945721960647,20.04718168461489,19.586515015400824,18.965180818848427,18.43766709945433,17.67542757478266,16.79778802685468,15.859893552050348,15.30595662549904,14.667781517320226,14.363687277036101,14.127731502025888,13.907979774152457,13.669734347138448,13.360094811261392,12.756829568267975,12.176496709818977,11.627041991552794
Replicate_16,20.66578991506858,20.164281901184477,19.638495198321323,19.163141317067275,18.876880379772828,18.274583034671966,17.432690227716485,16.77418110631992,16.026802559767546,15.249248315375807,14.59626911588038,14.065359924654219,13.69197570067239,13.505618268298441,13.397282314482577,13.411059365009342,13.430238393419407,13.429878409248328,13.361186334974796,13.299409720651205
Replicate_17,20.66578991506858,20.090470884710403,19.59917234460235,19.041529544197346,18.58306788707614,18.22206484954553,17.890072924293403,17.38540474791926,16.727523115373145,16.028058601889715,15.009543861617557,14.501969757145128,14.132142776139643,13.942990677467524,13.9362239923184,13.801142752681736,13.5921915123109,13.278428021010502,12.804280549814507,12.448533907766308
Replicate_18,20.66578991506858,20.100043304636596,19.73961642165252,19.333554597814654,18.8988171258723,18.48163439598516,18.040315349013873,17.46173629258584,16.881574045900464,16.36443951658843,16.040364831067105,15.385281374262895,14.839220986347923,14.6231787635781,14.231203506627251,13.793142195606457,13.298330614275002,13.09426997614692,13.011680282875359,13.002632576517868
Replicate_19,20.66578991506858,20.497554908710686,20.192172607402963,19.98824120966003,19.860599925204234,19.995789767104906,19.91385274904734,20.08311488406742,20.141940953892238,20.15696225373243,20.208316448454674,20.11256655957974,19.507779982985955,18.537217097934615,18.04237026519809,17.328695949587207,16.593462018953005,15.852659532771717,15.124807612405462,14.466076429891139
Replicate_20,20.66578991506858,20.67686192702084,20.570795288931436,20.358831795735178,20.075044232461302,19.753419079316114,19.787671507702157,19.96696087161261,19.945443630501853,19.99181531346767,20.79501814027328,21.343265621699434,21.688315085734438,21.621929249268657,21.282812324515096,20.956143276848604,20.495390565854347,20.227331603699216,20.029269271178304,19.8847121544957
Replicate_21,20.66578991506858,20.293372797143387,19.948254378805924,19.579985770051003,19.29509786079859,19.556200038040892,20.207650367406885,20.341388312009872,20.045674525689456,19.1700985472248,18.27000111770697,17.740859512063757,17.504825231235806,17.372537261399795,17.24412228631925,17.11595891508623,17.100264070820003,16.9929268299472,16.86598084634117,16.599205366137056
Replicate_22,20.66578991506858,20.311320685416643,19.93641577498287,19.327943308881142,19.11315600597123,19.28298906613024,20.126581730198573,20.394395666062483,19.96277214341469,19.203764765463426,17.82686518956129,16.611117849915914,15.615300457693406,14.966952913358003,14.589965498197182,14.455269134924224,14.39711809688467,14.33084288637819,14.210273414887338,14.102480679219793
Replicate_23,20.66578991506858,20.103546488092064,19.5494750755737,18.974601616888787,18.651057715125155,18.414535377687116,18.18469161880756,18.118790990724605,17.83783216078155,17.406891492293234,16.999302915036107,16.91613986237359,16.61158277847994,16.56843252916014,16.49739969039073,16.575141383980196,16.59018670597268,16.518915736921915,16.12843554245419,15.640309846825847
Replicate_24,20.66578991506858,20.67881560667561,20.431707794107748,19.855010532596665,19.480597774905082,19.333722199684452,18.98767361363635,18.267647949050872,17.577405016637677,17.056101918358134,17.05061394361485,16.849789042851885,16.393638338434403,15.996757215255794,15.726359035901758,15.42420576614679,15.351752694582634,15.300851710792044,15.23492505656842,15.260170781899507
Replicate_25,20.66578991506858,20.8294528054001,21.031002369722845,21.59842541171902,22.290685037068002,22.754051953113944,23.105564758131738,23.417811359099847,22.642034673708395,21.994973046119238,21.521163295837756,21.31083388782027,21.0977316646373,20.930366979821663,20.65166407178555,20.56921830790099,20.41773589255747,20.339946633127422,20.054161602016926,19.986051503049236
Replicate_26,20.66578991506858,20.60758840100448,20.41333373719083,20.123516845350956,19.54429513238414,18.90125157046687,18.12281104550939,17.56248948333101,17.211687178724006,16.671828650015193,16.10460880409821,15.594627884084819,15.002433315270707,14.431639127910953,14.199247267534187,14.082787733350882,14.056468369389123,14.045344707926217,14.193049140134972,14.268000684134398
Replicate_27,20.66578991506858,20.47157445326475,20.16404464993693,20.037446767720564,19.79978009176057,19.44402968819292,18.92613723013907,18.63006530160245,18.311407866271193,17.999543427737564,17.143420859167165,16.5255889273134,16.2828340908938,15.894314450342698,15.588001189743743,15.400790883853745,15.21548707114583,14.95483605222548,14.654125068522369,14.468356463115422
Replicate_28,20.66578991506858,20.307694796981753,19.87485473052992,19.53486818906769,19.30418394711984,19.03503057410659,19.42179458176612,19.807313721668322,20.48966564464839,20.951596118220927,20.97917962829598,21.108090391357294,21.072276488942595,20.6866817139419,20.274086757554805,19.971338913662123,19.893656698398697,19.646803204408002,18.8566707670806,18.18096286112115
