x,y
2464.460604100399,-2586.00111048713
2256.6145071921337,-2466.00111048713
2360.5375556462664,-2526.00111048713
2464.460604100399,-2466.00111048713
2048.7684102838684,-2346.00111048713
2152.691458738001,-2406.00111048713
2256.6145071921337,-2346.00111048713
2360.5375556462664,-2406.00111048713
2464.460604100399,-2346.00111048713
2568.3836525545316,-2406.00111048713
2672.3067010086643,-2346.00111048713
2048.7684102838684,-2226.00111048713
2152.691458738001,-2286.00111048713
2256.6145071921337,-2226.00111048713
2360.5375556462664,-2286.00111048713
2464.460604100399,-2226.00111048713
2568.3836525545316,-2286.00111048713
2672.3067010086643,-2226.00111048713
2776.229749462797,-2286.00111048713
1425.2301195590726,-2106.00111048713
1633.0762164673379,-2106.00111048713
1736.9992649214705,-2166.00111048713
1840.9223133756032,-2106.00111048713
1944.8453618297358,-2166.00111048713
2048.7684102838684,-2106.00111048713
2152.691458738001,-2166.00111048713
2256.6145071921337,-2106.00111048713
2360.5375556462664,-2166.00111048713
2464.460604100399,-2106.00111048713
2568.3836525545316,-2166.00111048713
2672.3067010086643,-2106.00111048713
2776.229749462797,-2166.00111048713
2880.1527979169296,-2106.00111048713
1009.537925742542,-1986.00111048713
1217.3840226508073,-1986.00111048713
1321.30707110494,-2046.00111048713
1425.2301195590726,-1986.00111048713
1529.1531680132052,-2046.00111048713
1633.0762164673379,-1986.00111048713
1736.9992649214705,-2046.00111048713
1840.9223133756032,-1986.00111048713
1944.8453618297358,-2046.00111048713
2048.7684102838684,-1986.00111048713
2152.691458738001,-2046.00111048713
2256.6145071921337,-1986.00111048713
2360.5375556462664,-2046.00111048713
2464.460604100399,-1986.00111048713
2568.3836525545316,-2046.00111048713
2672.3067010086643,-1986.00111048713
2776.229749462797,-2046.00111048713
2880.1527979169296,-1986.00111048713
2984.075846371062,-2046.00111048713
3087.998894825195,-1986.00111048713
1009.537925742542,-1866.00111048713
1113.4609741966747,-1926.00111048713
1217.3840226508073,-1866.00111048713
1321.30707110494,-1926.00111048713
1425.2301195590726,-1866.00111048713
1529.1531680132052,-1926.00111048713
1633.0762164673379,-1866.00111048713
1736.9992649214705,-1926.00111048713
1840.9223133756032,-1866.00111048713
1944.8453618297358,-1926.00111048713
2048.7684102838684,-1866.00111048713
2152.691458738001,-1926.00111048713
2256.6145071921337,-1866.00111048713
2360.5375556462664,-1926.00111048713
2464.460604100399,-1866.00111048713
2568.3836525545316,-1926.00111048713
2672.3067010086643,-1866.00111048713
2776.229749462797,-1926.00111048713
2880.1527979169296,-1866.00111048713
2984.075846371062,-1926.00111048713
3087.998894825195,-1866.00111048713
3191.9219432793275,-1926.00111048713
1009.537925742542,-1746.00111048713
1113.4609741966747,-1806.00111048713
1217.3840226508073,-1746.00111048713
1321.30707110494,-1806.00111048713
1425.2301195590726,-1746.00111048713
1529.1531680132052,-1806.00111048713
1633.0762164673379,-1746.00111048713
1736.9992649214705,-1806.00111048713
1840.9223133756032,-1746.00111048713
1944.8453618297358,-1806.00111048713
2048.7684102838684,-1746.00111048713
2152.691458738001,-1806.00111048713
2256.6145071921337,-1746.00111048713
2360.5375556462664,-1806.00111048713
2464.460604100399,-1746.00111048713
2568.3836525545316,-1806.00111048713
2672.3067010086643,-1746.00111048713
2776.229749462797,-1806.00111048713
2880.1527979169296,-1746.00111048713
2984.075846371062,-1806.00111048713
3087.998894825195,-1746.00111048713
3191.9219432793275,-1806.00111048713
3295.84499173346,-1746.00111048713
1009.537925742542,-1626.00111048713
1113.4609741966747,-1686.00111048713
1217.3840226508073,-1626.00111048713
1321.30707110494,-1686.00111048713
1425.2301195590726,-1626.00111048713
1529.1531680132052,-1686.00111048713
1633.0762164673379,-1626.00111048713
1736.9992649214705,-1686.00111048713
1840.9223133756032,-1626.00111048713
1944.8453618297358,-1686.00111048713
2048.7684102838684,-1626.00111048713
2152.691458738001,-1686.00111048713
2256.6145071921337,-1626.00111048713
2360.5375556462664,-1686.00111048713
2464.460604100399,-1626.00111048713
2568.3836525545316,-1686.00111048713
2672.3067010086643,-1626.00111048713
2776.229749462797,-1686.00111048713
2880.1527979169296,-1626.00111048713
2984.075846371062,-1686.00111048713
3087.998894825195,-1626.00111048713
3191.9219432793275,-1686.00111048713
3295.84499173346,-1626.00111048713
3399.7680401875928,-1686.00111048713
3503.6910886417254,-1626.00111048713
1009.537925742542,-1506.00111048713
1113.4609741966747,-1566.00111048713
1217.3840226508073,-1506.00111048713
1321.30707110494,-1566.00111048713
1425.2301195590726,-1506.00111048713
1529.1531680132052,-1566.00111048713
1633.0762164673379,-1506.00111048713
1736.9992649214705,-1566.00111048713
1840.9223133756032,-1506.00111048713
1944.8453618297358,-1566.00111048713
2048.7684102838684,-1506.00111048713
2152.691458738001,-1566.00111048713
2256.6145071921337,-1506.00111048713
2360.5375556462664,-1566.00111048713
2464.460604100399,-1506.00111048713
2568.3836525545316,-1566.00111048713
2672.3067010086643,-1506.00111048713
2776.229749462797,-1566.00111048713
2880.1527979169296,-1506.00111048713
2984.075846371062,-1566.00111048713
3087.998894825195,-1506.00111048713
3191.9219432793275,-1566.00111048713
3295.84499173346,-1506.00111048713
3399.7680401875928,-1566.00111048713
3503.6910886417254,-1506.00111048713
905.6148772884094,-1446.00111048713
1009.537925742542,-1386.00111048713
1113.4609741966747,-1446.00111048713
1217.3840226508073,-1386.00111048713
1321.30707110494,-1446.00111048713
1425.2301195590726,-1386.00111048713
1529.1531680132052,-1446.00111048713
1633.0762164673379,-1386.00111048713
1736.9992649214705,-1446.00111048713
1840.9223133756032,-1386.00111048713
1944.8453618297358,-1446.00111048713
2048.7684102838684,-1386.00111048713
2152.691458738001,-1446.00111048713
2256.6145071921337,-1386.00111048713
2360.5375556462664,-1446.00111048713
2464.460604100399,-1386.00111048713
2568.3836525545316,-1446.00111048713
2672.3067010086643,-1386.00111048713
2776.229749462797,-1446.00111048713
2880.1527979169296,-1386.00111048713
2984.075846371062,-1446.00111048713
3087.998894825195,-1386.00111048713
3191.9219432793275,-1446.00111048713
3295.84499173346,-1386.00111048713
3399.7680401875928,-1446.00111048713
3503.6910886417254,-1386.00111048713
3607.614137095858,-1446.00111048713
3711.5371855499907,-1386.00111048713
905.6148772884094,-1326.00111048713
1009.537925742542,-1266.00111048713
1113.4609741966747,-1326.00111048713
1217.3840226508073,-1266.00111048713
1321.30707110494,-1326.00111048713
1425.2301195590726,-1266.00111048713
1529.1531680132052,-1326.00111048713
1633.0762164673379,-1266.00111048713
1736.9992649214705,-1326.00111048713
1840.9223133756032,-1266.00111048713
1944.8453618297358,-1326.00111048713
2048.7684102838684,-1266.00111048713
2152.691458738001,-1326.00111048713
2256.6145071921337,-1266.00111048713
2360.5375556462664,-1326.00111048713
2464.460604100399,-1266.00111048713
2568.3836525545316,-1326.00111048713
2672.3067010086643,-1266.00111048713
2776.229749462797,-1326.00111048713
2880.1527979169296,-1266.00111048713
2984.075846371062,-1326.00111048713
3087.998894825195,-1266.00111048713
3191.9219432793275,-1326.00111048713
3295.84499173346,-1266.00111048713
3399.7680401875928,-1326.00111048713
3503.6910886417254,-1266.00111048713
3607.614137095858,-1326.00111048713
3711.5371855499907,-1266.00111048713
3815.4602340041233,-1326.00111048713
3919.383282458256,-1266.00111048713
905.6148772884094,-1206.00111048713
1009.537925742542,-1146.00111048713
1113.4609741966747,-1206.00111048713
1217.3840226508073,-1146.00111048713
1321.30707110494,-1206.00111048713
1425.2301195590726,-1146.00111048713
1529.1531680132052,-1206.00111048713
1633.0762164673379,-1146.00111048713
1736.9992649214705,-1206.00111048713
1840.9223133756032,-1146.00111048713
1944.8453618297358,-1206.00111048713
2048.7684102838684,-1146.00111048713
2152.691458738001,-1206.00111048713
2256.6145071921337,-1146.00111048713
2360.5375556462664,-1206.00111048713
2464.460604100399,-1146.00111048713
2568.3836525545316,-1206.00111048713
2672.3067010086643,-1146.00111048713
2776.229749462797,-1206.00111048713
2880.1527979169296,-1146.00111048713
2984.075846371062,-1206.00111048713
3087.998894825195,-1146.00111048713
3191.9219432793275,-1206.00111048713
3295.84499173346,-1146.00111048713
3399.7680401875928,-1206.00111048713
3503.6910886417254,-1146.00111048713
3607.614137095858,-1206.00111048713
3711.5371855499907,-1146.00111048713
3815.4602340041233,-1206.00111048713
3919.383282458256,-1146.00111048713
1009.537925742542,-1026.00111048713
1113.4609741966747,-1086.00111048713
1217.3840226508073,-1026.00111048713
1321.30707110494,-1086.00111048713
1425.2301195590726,-1026.00111048713
1529.1531680132052,-1086.00111048713
1633.0762164673379,-1026.00111048713
1736.9992649214705,-1086.00111048713
1840.9223133756032,-1026.00111048713
1944.8453618297358,-1086.00111048713
2048.7684102838684,-1026.00111048713
2152.691458738001,-1086.00111048713
2256.6145071921337,-1026.00111048713
2360.5375556462664,-1086.00111048713
2464.460604100399,-1026.00111048713
2568.3836525545316,-1086.00111048713
2672.3067010086643,-1026.00111048713
2776.229749462797,-1086.00111048713
2880.1527979169296,-1026.00111048713
2984.075846371062,-1086.00111048713
3087.998894825195,-1026.00111048713
3191.9219432793275,-1086.00111048713
3295.84499173346,-1026.00111048713
3399.7680401875928,-1086.00111048713
3503.6910886417254,-1026.00111048713
3607.614137095858,-1086.00111048713
3711.5371855499907,-1026.00111048713
3815.4602340041233,-1086.00111048713
3919.383282458256,-1026.00111048713
4023.3063309123886,-1086.00111048713
4127.229379366521,-1026.00111048713
1009.537925742542,-906.0011104871301
1113.4609741966747,-966.0011104871301
1217.3840226508073,-906.0011104871301
1321.30707110494,-966.0011104871301
1425.2301195590726,-906.0011104871301
1529.1531680132052,-966.0011104871301
1633.0762164673379,-906.0011104871301
1736.9992649214705,-966.0011104871301
1840.9223133756032,-906.0011104871301
1944.8453618297358,-966.0011104871301
2048.7684102838684,-906.0011104871301
2152.691458738001,-966.0011104871301
2256.6145071921337,-906.0011104871301
2360.5375556462664,-966.0011104871301
2464.460604100399,-906.0011104871301
2568.3836525545316,-966.0011104871301
