x,y
4234.858833332756,-126.14375507198264
3828.542861110492,176.62378682552577
3467.1220208329064,-12.008059399474027
3229.2991597220503,-297.7813109219275
2648.000152777359,-414.0561709245148
2181.694131943736,-394.54477797666885
2521.4967361106883,-793.4687413804986
2870.794888888191,-906.8229569092737
3340.707659722041,-805.0793066090959
3555.5319236108417,-878.036374167214
3646.7025486108305,-691.2551632055325
3876.989083333316,-574.6862962585379
4040.9069652775866,-581.4206081015869
4245.378520833089,-249.29782817413556
