x,y,salinity
2820.5986836901325,1745.591521242885,22.71665382385254
2794.695034889812,1677.6587056932694,22.285236358642578
2818.9000837688,1699.8519381891972,22.442020416259766
2842.6804826674543,1721.6654763074255,22.590559005737305
2866.4608815661086,1743.478688643264,22.731243133544922
2891.0905804254294,1765.4808950645624,22.864259719848633
2624.4103927762326,1478.4517950504376,20.52276611328125
2648.61544165522,1500.2681184043643,20.777103424072266
2672.8204905342077,1522.2739135283518,21.011192321777344
2696.6008894328625,1544.0897780087214,21.230379104614258
2720.3812883315168,1565.9053167128975,21.436765670776367
2744.161687230171,1587.7205296399704,21.632030487060547
2768.791386089492,1609.7247854752325,21.817625045776367
2792.571784988146,1631.729135841114,21.994510650634766
2816.3521838868014,1653.733157594464,22.16324234008789
2840.5572327657887,1675.9264207982687,22.32437515258789
2864.7622816447765,1697.7397627751507,22.47788429260254
2888.967330523764,1719.7425636401683,22.624279022216797
2912.747729422418,1741.3656839865657,22.763460159301758
2936.528128321073,1763.5578443493137,22.895776748657227
2960.7331772000607,1785.369862852925,23.021297454833984
2984.513576098715,1807.3715753882616,23.140750885009766
3008.2939749973693,1829.183175922008,23.25412940979004
3032.92367385669,1851.3735211342328,23.362085342407227
3056.704072755345,1872.9946809416233,23.464780807495117
2622.287142874567,1432.3298316903988,20.174917221069336
2646.492191753555,1454.3363248301112,20.460290908813477
2670.697240632542,1476.1526800065244,20.713457107543945
2694.4776395311965,1497.9689031979785,20.943593978881836
2718.6826884101847,1520.1641993590604,21.15677833557129
2742.463087308839,1541.9797652570392,21.357099533081055
2766.2434862074933,1563.9848031757388,21.546571731567383
2790.873185066814,1585.6094971327464,21.727313995361328
2814.6535839654684,1607.6138747929044,21.9006404876709
2838.4339828641237,1629.8077173387603,22.06783103942871
2862.639031743111,1652.0010082912431,22.22918128967285
2886.8440806220988,1673.6245900317276,22.38448715209961
2910.624479520753,1695.6276473667579,22.533933639526367
2934.404878419408,1717.4405883028346,22.677143096923828
2958.185277318062,1739.4429898203825,22.814449310302734
2982.814976177383,1761.444593234427,22.94580841064453
3006.5953750760373,1783.2565481629802,23.07138442993164
3030.800423955025,1805.2577187846036,23.191192626953125
3054.58082285368,1827.0690178119733,23.305503845214844
3078.785871732667,1849.25930301231,23.414745330810547
3102.566270631322,1871.0699447184336,23.519418716430664
3126.346669529976,1892.880260633459,23.620098114013672
3150.5517184089636,1914.8797704832755,23.71717643737793
3174.756767287952,1936.6891723715157,23.811033248901367
2596.3834940742468,1364.3902404167998,19.319042205810547
2620.1638929729015,1386.2078068721744,19.727685928344727
2644.3689418518893,1408.2146649937424,20.077272415161133
2668.5739907308766,1430.031385026274,20.38013458251953
2692.354389629531,1452.2275713262775,20.646699905395508
2716.134788528186,1473.8540238387798,20.88602638244629
2740.3398374071735,1495.8595528105861,21.1043643951416
2764.5448862861613,1517.6749494054714,21.30653190612793
2788.3252851848156,1539.8698125184885,21.49563217163086
2812.10568408347,1561.494958988033,21.674570083618164
2836.7353829427907,1583.87853497812,21.845294952392578
2860.5157818414455,1605.6928163039431,22.009654998779297
2884.7208307204332,1627.6963457054526,22.16858673095703
2908.9258795994206,1649.6995406235808,22.3228759765625
2932.706278498075,1671.5128359523026,22.472196578979492
2956.486677396729,1693.3258054970347,22.61652183532715
2980.6917262757174,1715.1382206855633,22.75571060180664
3004.0474751940387,1737.5201181346831,22.88956642150879
3028.6771740533595,1759.521419310088,23.018543243408203
3052.457572952014,1781.5228549775154,23.142736434936523
3076.662621831001,1803.144163045158,23.261873245239258
3100.8676707099894,1825.1446981244428,23.376407623291016
3124.6480696086437,1846.955368437615,23.48645782470703
3148.428468507298,1868.9554879946882,23.59254264831543
3172.6335173862853,1890.9550269059234,23.695085525512695
3196.8385662652736,1912.9542313224422,23.79429054260254
3220.6189651639284,1934.5738176619652,23.890764236450195
3244.3993640625827,1956.7623889966212,23.985301971435547
3268.179762961237,1978.381325161628,24.0788516998291
2570.0551952935934,1296.4497172432416,18.18640899658203
2594.260244172581,1318.2677954316646,18.737546920776367
2618.4652930515686,1340.4651552309845,19.214801788330078
2642.2456919502238,1362.2827488822682,19.629480361938477
2666.026090848878,1384.2898205281356,19.99118995666504
2690.655789708199,1406.2961887850906,20.308195114135742
2714.436188606853,1428.1127964664015,20.588565826416016
2738.2165875055075,1450.1188778399799,20.839054107666016
2762.4216363844957,1471.9346364104717,21.0662841796875
2786.626685263483,1493.9398599703345,21.27495574951172
2810.4070841621374,1515.7551558955263,21.46839141845703
2834.1874830607917,1537.9497135447752,21.64990997314453
2857.967881959447,1559.574562743928,21.82166290283203
2881.748280858101,1581.7684617513241,21.98563575744629
2906.377979717422,1603.3922334588092,22.143449783325195
2931.007678576743,1625.39524665154,22.29593276977539
2954.3634274950637,1647.588364709692,22.443613052368164
2978.5684763740514,1669.5909270323311,22.586713790893555
3002.348875272706,1691.2138128324702,22.725435256958008
3026.553924151694,1713.2157119988958,22.85959815979004
3050.7589730306813,1735.407057529451,22.98956871032715
3074.5393719293356,1757.218741053684,23.11540985107422
3098.31977082799,1778.8403207693923,23.237224578857422
3122.100169726645,1801.0309073381945,23.35483169555664
3146.729868585966,1823.0309013326012,23.46847152709961
3170.5102674846203,1845.0310467652732,23.57830047607422
3194.7153163636076,1866.8408424599425,23.68451499938965
3218.9203652425954,1888.6503065430102,23.787790298461914
3242.70076414125,1910.8392324814936,23.88825225830078
3266.4811630399045,1932.6482909514023,23.986440658569336
3290.2615619385588,1954.836556800203,24.082958221435547
2376.4148042616926,1075.0073638635856,13.597764015197754
