lat,lon
63.436546,10.3916935
63.436512,10.3915171
63.4364972,10.3915254
63.4362906,10.3912623
63.4361522,10.3912827
63.4360622,10.3912827
63.435951,10.3912578
63.435922,10.3912348
63.4358411,10.3911707
63.4358264,10.3911543
63.4357592,10.3910794
63.4358133,10.3908909
63.4357683,10.3908291
63.4357117,10.391016
63.4356928,10.3909853
63.4356477,10.390912
63.4355983,10.3907899
63.4352812,10.3898799
63.435326,10.3897676
63.4338308,10.3854187
63.4334189,10.3840348
63.4332498,10.3834661
63.4330645,10.3828464
63.4327233,10.3812861
63.4327209,10.3811038
63.4326777,10.3807926
63.4326085,10.3805805
63.4325877,10.3804936
63.4325823,10.3803487
63.4325913,10.3800295
63.4326061,10.3798699
63.4325887,10.3797066
63.4325238,10.3796703
63.4324913,10.3797403
63.4324597,10.3799855
63.4324646,10.3797144
63.4324877,10.3795127
63.4325185,10.3793684
63.4325778,10.3790856
63.4329341,10.3780077
63.4335522,10.3762955
63.4335926,10.3762239
63.4335997,10.3761778
63.4335955,10.3761087
63.4335741,10.376074
63.433546,10.3760758
63.4335275,10.3760978
63.4335164,10.3761544
63.4335134,10.3761936
63.4329935,10.3775934
63.4327107,10.378425
63.4325426,10.3789585
63.4324482,10.3793681
63.4324152,10.3796528
63.4324057,10.3799795
63.4323445,10.3800007
63.4320674,10.3800965
63.4320025,10.3801189
63.4319707,10.3801299
63.4318884,10.379786
63.4316868,10.3789432
63.4316775,10.3788996
63.4316968,10.378877
63.4317153,10.3788554
63.4317405,10.3789566
63.4317924,10.3788514
63.4318137,10.3787629
63.4318179,10.3786603
63.4317993,10.378616
63.431768,10.3785766
63.4319425,10.3775794
63.432014,10.3775776
63.4320359,10.3775233
63.4320485,10.3774587
63.4320512,10.3773954
63.4320412,10.3773133
63.4320114,10.3772267
63.4319685,10.3771661
63.431718,10.3771817
63.4315956,10.3760881
63.4316567,10.3751756
63.431981,10.3752926
63.4319982,10.3752266
63.4320577,10.3740316
63.4321658,10.3740727
63.43248,10.3687102
63.4325389,10.368268
63.4325963,10.3679128
63.4338739,10.3631896
63.4333424,10.3608258
63.4331845,10.361003
63.4324048,10.3636305
63.4321586,10.3632369
63.4320996,10.3630115
63.4320825,10.3629049
63.4321722,10.3628884
63.4322106,10.3623189
63.4322155,10.3617495
63.4323182,10.3616336
63.4325038,10.3609975
63.4326061,10.360238
63.4325967,10.3593446
63.4325566,10.3588917
63.4324962,10.3586397
63.4324469,10.3584873
63.43243539203385,10.358394073231656
63.43570238182593,10.350383237463728
63.4358919,10.350362
63.4362281,10.3507395
63.4364592,10.3510197
63.4365532,10.351427
63.436598,10.351551
63.436607,10.3518422
63.4366258,10.3521356
63.4366636,10.3521209
63.436715,10.351838
63.4368371,10.3518257
63.4368851,10.3519423
63.4368865,10.3521234
63.4369839,10.3521264
63.4369812,10.3519515
63.4370251,10.3518564
63.4371294,10.3518656
63.4372048,10.3521234
63.4372503,10.3521282
63.4372756,10.3518188
63.4372752,10.35154
63.4374572,10.3514782
63.4376209,10.3514595
63.4376971,10.3510526
63.4378537,10.3506846
63.437912,10.3503427
63.4380599,10.3502057
63.4382467,10.3498245
63.4386501,10.3494554
63.4389177,10.3494314
63.4391534,10.3495825
63.4395394,10.3498515
63.4395897,10.3504357
63.4401138,10.3503039
63.4401095,10.3496903
63.440176,10.3491323
63.4403107,10.3487503
63.4405152,10.3485132
63.4405946,10.3487025
63.4406292,10.3486538
63.4406743,10.3486336
63.4406868,10.3485766
63.4407213,10.3485581
63.4407348,10.3486317
63.4408734,10.3487153
63.4416111,10.3489127
63.4418514,10.3492468
63.4420604,10.3489404
63.4424023,10.3490719
63.4426402,10.3487211
63.4427456,10.3490157
63.4429825,10.3486484
63.4429196,10.3483541
63.4429968,10.3478828
63.442934,10.3476206
63.44316,10.3469839
63.4435954,10.3461131
63.4437419,10.346188
63.4439638,10.3453453
63.4438298,10.3449427
63.444107,10.3435241
63.4441396,10.3426393
63.4444281,10.3419088
63.4445414,10.3417123
63.4446419,10.341319
63.4448573,10.341376
63.4452643,10.3422618
63.4453661,10.3422928
63.4453493,10.3427704
63.4457146,10.34291
63.4457582,10.3424687
63.4458935,10.3425898
63.4459781,10.3426504
63.4461177,10.3425264
63.4461033,10.3422644
63.4462183,10.3421963
63.4463266,10.3421963
63.4464721,10.3420903
63.4464924,10.3419389
63.4467495,10.3415264
63.4471417,10.3408982
63.4472638,10.3403042
63.4472469,10.3399485
63.4473653,10.3400695
63.4474465,10.3394792
63.4474481,10.3383402
63.4474484,10.3381065
63.4474485,10.3380163
63.447475032570516,10.336442115288738
63.4761121,10.3948786
63.45636301867359,10.44326466015903
63.456081,10.4428276
63.4557163,10.4414962
63.4555264,10.4409947
63.4552677,10.4399446
63.4548868,10.4395353
63.4546046,10.439409
63.4545569,10.4390632
63.4540935,10.4387004
63.4538287,10.4385955
63.453474,10.438166
63.4532092,10.4377392
63.4531764,10.4375394
63.4528267,10.4367702
63.4525806,10.4363676
63.4523092,10.4362096
63.4520257,10.4361899
63.4518827,10.4363078
63.4514647,10.436124
63.4513245,10.4359781
63.451182,10.4358345
63.4511293,10.4356799
63.4510138,10.4355002
63.4510113,10.4352052
63.4509139,10.4351365
63.4509135,10.4349484
63.4508204,10.4344929
63.4507679,10.434489
63.4507501,10.4345782
63.4506269,10.4346778
63.4502708,10.4340837
63.4501297,10.4335083
63.4502237,10.4332809
63.450281,10.433312
63.4504369,10.4331516
63.45043,10.4327804
63.4503806,10.4326453
63.4504591,10.4322876
63.4503403,10.4321176
63.4502235,10.4321468
63.4501696,10.4318764
63.4503084,10.4315999
63.4501955,10.431214
63.4499792,10.4315162
63.4497786,10.4315912
63.4497041,10.4314261
63.4494111,10.4308331
63.4492061,10.4305987
63.449212,10.4303193
63.448955,10.429653
63.4486745,10.4288355
63.4485741,10.4279585
63.4486391,10.4261562
63.4486433,10.4260409
63.4485031,10.4249658
63.4481271,10.4235545
63.447729,10.4230943
63.4478275,10.4229312
63.4476241,10.4223163
63.4475256,10.4224793
63.4472067,10.4221701
63.4467374,10.421677
63.4461023,10.4210472
63.445844,10.4208168
63.4461395,10.4188345
63.4464208,10.4169469
63.4464891,10.4168136
63.4465296,10.4165929
63.4462895,10.4164915
63.44587,10.4161491
63.4454564,10.4154282
63.4450067,10.4141649
63.4449354,10.4139931
63.444903,10.4138901
63.4445167,10.4126638
63.4443703,10.4122466
63.4443436,10.4121362
63.4441883,10.4114957
63.4440248,10.4107765
63.4439214,10.4101839
63.4425624,10.4090386
63.4414725,10.4080975
63.4412427,10.4071206
63.4413137,10.4065564
63.4411684,10.4064656
63.4411767,10.4063921
63.4413217,10.4064923
63.4413634,10.4061609
63.4423881,10.4068341
63.4425878,10.4069552
63.4429708,10.4070883
63.4431631,10.4071282
63.4437759,10.4073261
63.4437884,10.4070318
63.4438906,10.4069253
63.4440198,10.4066376
63.4442788,10.404678
63.4443008,10.4042259
63.4442185,10.4038187
63.4438473,10.403396
63.4430636,10.4028249
63.4422802,10.4022222
63.4416439,10.4018938
63.4413604,10.401224
63.4409471,10.4001407
63.4408725,10.3999736
63.4408159,10.3998565
63.4406335,10.3993809
63.4406047,10.3993131
63.4405446,10.3991594
63.4404845,10.3990057
63.4404069,10.3988188
63.4403565,10.3986923
63.4399605,10.3976977
63.439203,10.3958827
63.4391688,10.3958115
63.4391554,10.3957421
63.4391523,10.3956651
63.4391378,10.3955932
63.4391164,10.3955366
63.4390538,10.3954424
63.438982,10.3953533
63.4378764,10.3927043
63.4377264,10.3923449
63.4376377,10.3921545
63.4375633,10.3919962
63.4375093,10.3918621
63.4374398,10.3917025
63.4373846,10.3915952
63.4373144,10.3914785
63.4372515,10.391382
63.4371741,10.3912747
63.4371291,10.3912143
63.4370757,10.3911687
63.4370419,10.3911486
63.4370113,10.3911573
63.4369849,10.3911956
63.4369678,10.3912338
63.4369528,10.3912968
63.4369492,10.3913585
63.4369528,10.3914162
63.436546,10.3916935
