lat,lon,depth,salinity
63.449048335495355,10.34496704852426,1.0,28.972455978393555
63.44718122146199,10.347381901093609,1.0,28.737937927246094
63.44811477847867,10.346174514185034,1.0,28.845428466796875
63.449048335495355,10.347378669366881,1.0,28.88071060180664
63.44531410742863,10.349796438688813,1.0,28.413312911987305
63.44624766444531,10.348589209258646,1.0,28.56147003173828
63.44718122146199,10.349793364674657,1.0,28.60544204711914
63.44811477847867,10.348586056393986,1.0,28.774253845214844
63.449048335495355,10.349790290209501,1.0,28.862287521362305
63.449981892512035,10.348582903066738,1.0,28.962575912475586
63.450915449528715,10.349787215293246,1.0,29.08820343017578
63.44531410742863,10.352207745031361,1.0,28.29300880432129
63.44624766444531,10.351000594217561,1.0,28.470947265625
63.44718122146199,10.352204828255706,1.0,28.58634376525879
63.44811477847867,10.350997598602936,1.0,28.728105545043945
63.449048335495355,10.35220191105212,1.0,28.871986389160156
63.449981892512035,10.350994602548795,1.0,28.969831466674805
63.450915449528715,10.35219899342051,1.0,29.06833267211914
63.451849006545395,10.350991606055048,1.0,29.17963981628418
63.439712765328544,10.354627327557031,1.0,27.591068267822266
63.4415798793619,10.35462456923396,1.0,27.73444366455078
63.44251343637858,10.353417654656683,1.0,27.877906799316406
63.44344699339527,10.354621810506282,1.0,27.998584747314453
63.44438055041195,10.353414817124714,1.0,28.157615661621094
63.44531410742863,10.35461905137391,1.0,28.31935691833496
63.44624766444531,10.353411979176478,1.0,28.467063903808594
63.44718122146199,10.354616291836756,1.0,28.60413360595703
63.44811477847867,10.353409140811886,1.0,28.714256286621094
63.449048335495355,10.35461353189474,1.0,28.85908317565918
63.449981892512035,10.353406302030853,1.0,28.97568130493164
63.450915449528715,10.354610771547774,1.0,29.077436447143555
63.451849006545395,10.35340346283329,1.0,29.18175506591797
63.452782563562074,10.354608010795776,1.0,29.2310791015625
63.43597853726182,10.357043363485595,1.0,26.89252281188965
63.437845651295184,10.357040763094716,1.0,27.125741958618164
63.438779208311864,10.355834084661561,1.0,27.38296890258789
63.439712765328544,10.357038162322443,1.0,27.379161834716797
63.44064632234522,10.355831405119662,1.0,27.537593841552734
63.4415798793619,10.357035561168695,1.0,27.67583465576172
63.44251343637858,10.355828725184724,1.0,27.862028121948242
63.44344699339527,10.357032959633393,1.0,27.986108779907227
63.44438055041195,10.355826044856661,1.0,28.194059371948242
63.44531410742863,10.357030357716457,1.0,28.341182708740234
63.44624766444531,10.355823364135393,1.0,28.46141815185547
63.44718122146199,10.357027755417805,1.0,28.640512466430664
63.44811477847867,10.355820683020838,1.0,28.761722564697266
63.449048335495355,10.35702515273736,1.0,28.883222579956055
