x,y
801.6918288342767,-1219.763808322674
803.3765985152761,-1219.0377254622692
822.1025480065834,-1208.8931729938615
840.0239460837807,-1197.0419013648398
842.4061821950469,-1195.3135510694729
859.6723871690898,-1181.5889714234038
875.7342105680883,-1166.3553439933155
890.4240405160398,-1149.7716388730594
903.5885824571816,-1132.0109148088898
915.0904588648862,-1113.258513222228
924.8096428179176,-1093.7101240628915
932.6447105476632,-1073.5697436690389
938.5138998254133,-1053.0475459526472
942.3559631967576,-1032.3576891215646
942.8235048633511,-1028.917329302699
944.5023986774502,-1010.5940490186514
944.5398902231009,-992.4593054373378
942.9356714593337,-974.6620979971842
939.7029230365868,-957.3486527551513
934.8682059967874,-940.6612209631837
934.0778379375322,-938.3663478307825
927.0438908154605,-921.0796978490151
918.2288685238063,-904.8646293352336
907.7185143897493,-889.8788649394887
895.6150621453712,-876.2681698530871
893.8478408614461,-874.6929892970658
840.9905003248631,-809.224412349608
854.4935928748757,-781.6041206156959
865.7890972411393,-764.7068355097265
866.1490359644283,-764.1668861494843
884.9409623830326,-735.8978878658033
925.9903812665593,-674.2084703836608
1068.5071018421954,-488.80584632121145
1068.9137733093728,-488.87987711843016
1072.3201483112134,-489.3126575601222
1091.040570136623,-490.7274002417084
1110.1023049607238,-490.26704910491554
1129.328895934157,-487.9358654942866
1148.542360109705,-483.7554294115184
1152.3049573316027,-482.7545129504737
1174.579631877374,-475.54961648348325
1180.52409021136,-473.27911992654276
1199.489773038448,-465.0464587342191
1217.8579828342286,-455.0741834890607
1222.8673578334458,-452.0670368165935
1225.8640022102554,-450.2387161814325
1234.4801272112818,-444.89659778998174
1244.0476772705579,-438.6523938128413
1251.0496703264694,-433.8480605752373
1258.7390938091323,-428.3543104890434
1266.5537188094931,-422.5443860055187
1281.5198693068833,-410.50268680057974
1287.6647026384655,-405.1608528298125
1303.018010858663,-390.64988616864764
1310.7547122477931,-382.70449356141665
1316.7711024557973,-376.2795997673149
1318.1385163508787,-374.9784773797107
1318.949429394826,-374.2034643518138
1328.8234641169552,-364.7248389105327
1338.6506870359399,-354.75819595556965
1355.346372671081,-336.868974495103
1457.651977164113,-227.25532620483264
1468.4269193581626,-219.25133401528262
1485.7914141945075,-203.67151386158196
1501.682107405019,-186.53672213977492
1504.0643435139123,-183.71932773360666
1518.2567082370751,-165.2857764291586
1524.062316154487,-156.1091644109359
1587.339897606572,-88.31531401424667
1591.3662624121816,-83.89896689817179
1635.4196518803294,-34.42671276618415
1639.2590934595396,-30.117971918660686
1646.1156841453028,-22.734243314406005
1651.2078279961231,-17.083932946216525
1657.8979931598137,-9.434049719455183
1661.7643089584953,-5.013121528033789
1669.3940728365985,3.437556149245003
1680.9443516206156,16.903039976892366
1682.8945754137085,18.780188897460512
1691.1990059713933,27.096901405937512
1704.7285325023465,41.7503094607828
1725.3283083500983,65.89077810714238
